edge_id,benchmark_id,harm_id,ev_id,Bench: Title,Harm: Category ,Harm: Subcategory,Harm: Domain,Harm: Subdomain,strength,basis,confidence,annotator,version,notes
,B375.01.01,6.02.01,,,,,,,strong-proxy,face-validity-only,probable,Wilber,1,"TheAgentCompany. Agentic success on real workplace tasks is a near-necessary precursor capability for job automation. Not direct: a score is 'can do the task', not 'a job was lost'."
,B375.01.01,6.02.02,,,,,,,strong-proxy,face-validity-only,probable,Wilber,1,"TheAgentCompany. Role-like task suites across functions => capability proxy for human substitution."
,B375.01.01,6.02.10,,,,,,,weak-proxy,face-validity-only,possible,Wilber,1,"TheAgentCompany. Capability->jobs-impact link is confounded (adoption, augmentation vs substitution, regulation). Weak-proxy only."
,B376.01.01,6.02.01,,,,,,,strong-proxy,face-validity-only,probable,Wilber,1,"WorkArena. Enterprise knowledge-work task completion = automation-capability proxy."
,B376.01.01,6.02.02,,,,,,,strong-proxy,face-validity-only,probable,Wilber,1,"WorkArena. Knowledge-worker substitution proxy."
,B377.01.01,6.02.01,,,,,,,strong-proxy,face-validity-only,probable,Wilber,1,"OSWorld. Open-ended computer-use across real apps = broad digital-work automation proxy."
,B378.01.01,6.02.01,,,,,,,strong-proxy,face-validity-only,probable,Wilber,1,"tau-bench. Customer-service workflow completion = concrete service-job automation proxy."
,B378.01.01,6.02.02,,,,,,,strong-proxy,face-validity-only,probable,Wilber,1,"tau-bench. Service-role substitution proxy."
,B379.01.01,6.02.01,,,,,,,strong-proxy,face-validity-only,probable,Wilber,1,"SWE-bench. Resolving real GitHub issues substitutes software-engineering labour on verifiable tasks."
,B379.01.01,6.02.13,,,,,,,weak-proxy,face-validity-only,possible,Wilber,1,"SWE-bench. Resolution rate is a weak downstream proxy for dev-labour displacement (confounded by augmentation)."
,B380.01.01,6.02.01,,,,,,,strong-proxy,face-validity-only,probable,Wilber,1,"MLE-bench. End-to-end ML engineering automation proxy."
,B381.01.01,6.02.02,,,,,,,strong-proxy,face-validity-only,possible,Wilber,1,"MLAgentBench. Research-engineering substitution proxy."
,B382.01.01,6.02.01,,,,,,,strong-proxy,face-validity-only,possible,Wilber,1,"Agents' Last Exam. Long-horizon professional workflows w/ verifiable outcomes across industries = automation-capability proxy."
